overall_qual,gr_liv_area,nb_ranking,garage_area,garage_cars,total_bsmt_sf,1st_flr_sf,year_built,year_remod/add,full_bath,totrms_abvgrd,mas_vnr_area,fireplaces,bsmtfin_sf_1,open_porch_sf,wood_deck_sf,lot_area,saleprice
4,1981,1.45,576.0,2.0,1122.0,1328,1928,1950,2,7,0.0,2,622.0,44,431,7804,135000
7,2784,2.05,564.0,2.0,1392.0,1392,1978,1978,3,12,184.0,2,790.0,112,0,16692,250000
4,1092,1.25,0.0,0.0,546.0,546,1970,1970,1,5,0.0,0,176.0,26,200,1476,76000
6,1575,1.9,400.0,2.0,216.0,1575,1951,1951,1,5,522.0,1,0.0,0,0,10170,155000
6,1352,1.4,299.0,1.0,663.0,663,1969,1969,1,7,143.0,0,371.0,36,379,9364,158000
7,1200,2.15,480.0,2.0,600.0,600,2004,2005,2,4,0.0,0,368.0,172,0,2544,149500
5,936,1.9,240.0,1.0,936.0,936,1954,1975,1,5,0.0,0,486.0,0,0,9888,121000
6,1040,1.9,293.0,1.0,1040.0,1040,1953,1953,1,6,0.0,0,85.0,0,0,7942,136000
6,1636,2.1,386.0,2.0,916.0,916,1996,1996,2,7,0.0,1,138.0,84,168,15038,173000
8,2270,3.4,671.0,3.0,1152.0,1164,1999,2007,2,9,348.0,1,524.0,57,132,11764,290000
8,2610,2.15,550.0,2.0,1184.0,1184,2007,2007,2,11,0.0,1,64.0,364,208,9000,303477
7,1483,2.35,690.0,2.0,1420.0,1483,1977,2001,1,4,0.0,2,1092.0,0,496,20062,270000
5,1740,1.85,225.0,1.0,936.0,960,1920,1950,1,6,0.0,1,360.0,0,0,7308,122250
5,1382,1.9,350.0,1.0,1382.0,1382,1955,1955,1,6,0.0,0,172.0,0,280,8750,153000
5,1120,1.45,0.0,0.0,1120.0,1120,2007,2007,1,6,0.0,0,206.0,30,0,8402,147000
7,1098,2.5,216.0,1.0,531.0,567,1930,1995,1,5,0.0,1,246.0,0,0,4000,148500
7,1708,1.7,380.0,2.0,976.0,976,2004,2004,2,7,117.0,0,0.0,40,0,3363,130000
9,1802,2.7,843.0,3.0,1802.0,1802,2006,2006,2,7,510.0,1,0.0,105,158,13615,372000
7,1506,2.1,440.0,2.0,1362.0,1506,2005,2005,2,6,145.0,1,16.0,20,142,3013,213490
7,1508,1.7,572.0,2.0,1508.0,1508,2009,2010,1,5,96.0,2,1346.0,0,0,17485,308030
7,2032,1.45,786.0,3.0,1840.0,2032,1996,1997,3,7,668.0,0,700.0,46,0,23730,300000
6,1194,1.9,539.0,2.0,655.0,1194,1959,1959,1,6,0.0,1,655.0,0,0,8910,159500
7,1709,1.7,380.0,2.0,970.0,970,2004,2004,2,7,50.0,0,0.0,40,0,2522,137500
7,1616,2.15,834.0,3.0,1616.0,1616,2005,2005,2,7,228.0,0,0.0,59,208,8688,232000
6,768,1.05,440.0,2.0,768.0,768,1930,1950,1,4,0.0,0,0.0,0,0,6291,93850
5,872,1.4,322.0,1.0,872.0,872,1924,1950,1,5,65.0,1,0.0,0,0,17529,105000
4,520,1.35,240.0,1.0,520.0,520,1927,1950,1,4,0.0,0,0.0,0,49,6324,68500
5,2274,1.9,480.0,2.0,1105.0,1105,1960,1960,2,12,361.0,0,443.0,0,0,11600,154300
5,1601,1.05,0.0,0.0,936.0,936,1925,2003,2,6,0.0,0,0.0,0,0,7288,129850
5,1232,1.85,480.0,2.0,616.0,616,1910,1950,1,6,0.0,0,168.0,0,280,4571,114000
9,2234,3.6,1166.0,3.0,2216.0,2234,2008,2009,2,9,748.0,1,1904.0,60,0,17423,501837
5,1416,1.85,720.0,3.0,876.0,876,1915,1950,1,7,0.0,1,0.0,0,418,12665,153900
4,864,1.9,576.0,2.0,864.0,864,1971,2006,1,5,0.0,0,240.0,0,200,9000,130000
6,1189,1.45,392.0,2.0,1189.0,1189,1997,1997,2,4,197.0,0,864.0,122,0,4500,160500
9,1666,2.7,575.0,2.0,1666.0,1666,2006,2006,2,6,572.0,1,415.0,75,228,6373,310090
7,1200,2.0,555.0,2.0,1176.0,1200,2003,2003,2,5,0.0,0,833.0,41,0,10083,184900
5,928,1.9,252.0,1.0,928.0,928,1956,2000,1,4,0.0,0,377.0,0,261,13300,132000
5,1336,2.05,502.0,2.0,1288.0,1336,1969,1969,2,6,128.0,1,553.0,11,312,9600,163000
7,1200,2.15,480.0,2.0,600.0,600,2004,2004,2,4,120.0,0,280.0,172,0,3215,155000
6,1427,2.05,516.0,2.0,1427.0,1427,1969,1969,2,7,0.0,0,828.0,0,0,11104,183000
7,1992,2.5,608.0,2.0,860.0,1212,1996,2002,2,7,254.0,2,762.0,32,225,15295,211000
7,1540,2.0,495.0,2.0,754.0,754,1994,1994,2,6,0.0,0,36.0,32,140,9109,184000
5,1535,2.0,400.0,2.0,0.0,1535,1979,1979,2,8,0.0,0,0.0,0,0,7018,118858
5,1152,1.9,484.0,2.0,1152.0,1152,1964,1964,1,6,86.0,1,1014.0,0,227,14112,180500
8,1151,2.15,484.0,2.0,1141.0,1151,2006,2007,2,5,30.0,0,60.0,60,0,3523,166000
6,1138,1.4,480.0,2.0,1138.0,1138,1960,1960,1,6,54.0,1,588.0,0,0,15312,148000
5,1074,1.9,396.0,2.0,894.0,1074,1956,1956,1,6,0.0,1,438.0,72,0,7450,124000
9,1561,2.7,556.0,2.0,1561.0,1561,2005,2005,2,6,246.0,1,1153.0,47,203,7313,277500
8,2726,3.4,725.0,3.0,1342.0,1358,1995,1995,2,9,397.0,1,527.0,169,307,10019,350000
9,1884,3.6,670.0,3.0,1884.0,1884,2004,2004,2,7,296.0,1,1337.0,76,214,15401,387000
4,605,1.7,0.0,0.0,528.0,605,1920,2002,1,5,0.0,0,348.0,0,0,9098,86000
8,1671,2.6,550.0,2.0,1426.0,1671,1976,2007,3,6,0.0,1,1044.0,90,280,16280,290000
3,797,1.05,0.0,0.0,245.0,797,1900,1950,1,5,0.0,0,0.0,36,0,9392,44000
6,1961,1.45,560.0,2.0,804.0,804,2001,2002,2,7,0.0,1,690.0,192,125,12209,215000
5,1193,2.05,501.0,2.0,1153.0,1193,1972,1972,2,6,144.0,0,962.0,153,140,13110,146500
7,1382,2.15,490.0,2.0,673.0,673,2000,2000,2,6,0.0,0,641.0,50,153,2651,165000
6,2526,1.85,216.0,1.0,714.0,1664,1916,1950,2,10,0.0,1,168.0,15,88,8520,136000
6,1390,1.9,550.0,2.0,1705.0,1390,1957,1957,1,4,902.0,2,1110.0,189,0,39384,252000
7,1626,2.7,474.0,2.0,764.0,764,2003,2003,2,6,106.0,0,0.0,27,0,2628,175500
5,1558,1.85,400.0,2.0,690.0,868,1939,1950,1,7,0.0,1,421.0,36,0,6406,150000
5,1422,1.9,286.0,1.0,978.0,1422,1960,1978,1,6,0.0,1,0.0,0,0,12342,139900
5,1573,1.35,360.0,2.0,1078.0,1128,1930,1992,2,8,0.0,1,0.0,0,0,6240,162900
6,1116,1.9,440.0,2.0,1116.0,1116,1962,1962,1,5,261.0,0,0.0,0,0,10000,160000
2,660,1.4,0.0,0.0,0.0,660,1947,1950,1,5,0.0,0,0.0,0,0,9000,63900
6,1707,2.05,479.0,2.0,1140.0,1707,1978,1998,2,7,144.0,1,832.0,0,0,11088,184000
5,1466,1.7,528.0,2.0,1466.0,1466,1959,1959,1,6,132.0,2,176.0,140,0,17755,149900
9,1638,2.15,495.0,2.0,1614.0,1638,2000,2000,2,5,260.0,1,1027.0,68,230,4765,300000
5,1721,2.35,626.0,2.0,988.0,1721,1960,1960,2,7,275.0,2,988.0,84,50,10532,145000
6,1764,2.5,470.0,2.0,928.0,928,1997,1997,2,7,0.0,0,821.0,99,276,15426,231500
5,996,1.7,0.0,0.0,996.0,996,1940,1969,1,6,0.0,1,290.0,0,144,13907,108000
5,1202,1.9,304.0,1.0,1202.0,1202,1956,1956,1,6,0.0,0,435.0,35,0,8750,120000
5,988,1.4,572.0,2.0,988.0,988,1961,1961,1,5,57.0,0,827.0,0,0,9945,128500
5,1028,1.85,360.0,2.0,1008.0,1028,1927,1950,1,5,0.0,1,0.0,0,0,8960,115000
5,1284,1.85,240.0,1.0,720.0,720,1947,1950,1,5,0.0,0,312.0,35,0,3500,110000
9,2944,2.6,864.0,3.0,994.0,1599,1977,1977,2,9,1050.0,1,410.0,70,140,24572,150000
8,1414,2.1,403.0,2.0,707.0,707,2004,2004,2,6,0.0,1,0.0,35,100,9056,178000
7,1609,2.5,579.0,3.0,637.0,959,1932,1990,1,8,0.0,2,0.0,0,0,12320,199500
6,1525,2.1,400.0,2.0,813.0,813,1997,1998,2,6,0.0,1,700.0,72,421,8238,183500
5,1656,1.05,288.0,1.0,624.0,1092,1967,1967,1,7,0.0,1,257.0,180,0,6000,126000
7,1055,1.35,440.0,2.0,1055.0,1055,1977,1977,2,4,0.0,0,378.0,38,0,2529,148500
5,1352,1.85,720.0,2.0,676.0,676,1939,2006,2,7,0.0,0,0.0,0,187,10800,149000
6,1456,1.35,440.0,2.0,855.0,855,1977,1977,2,6,0.0,1,389.0,28,0,2349,137900
8,1719,2.6,473.0,2.0,1719.0,1719,1993,1993,1,6,0.0,2,1619.0,30,122,10846,324000
5,864,1.7,0.0,0.0,864.0,864,1925,1950,1,5,0.0,0,468.0,0,0,5604,98000
6,987,1.0,264.0,1.0,483.0,483,1973,1973,1,5,359.0,0,458.0,0,52,1680,103400
5,1020,1.4,0.0,0.0,780.0,780,1875,1996,1,6,0.0,0,0.0,0,0,6342,94000
8,1554,2.7,627.0,2.0,1554.0,1554,2006,2006,2,6,108.0,1,24.0,73,156,4590,209500
10,3390,3.6,758.0,3.0,1528.0,1528,2006,2006,3,10,662.0,1,0.0,34,204,18062,545224
6,1560,1.85,0.0,0.0,780.0,780,1912,2009,1,7,0.0,0,0.0,0,344,12900,159900
4,864,2.1,400.0,2.0,864.0,864,1951,1951,1,4,0.0,0,120.0,0,0,19138,141000
6,1889,2.1,431.0,2.0,982.0,1008,2000,2000,2,9,0.0,1,732.0,0,0,8658,215000
5,1040,1.4,260.0,1.0,1040.0,1040,1962,2010,1,6,0.0,0,659.0,104,0,6897,127000
5,1172,1.7,366.0,1.0,1172.0,1172,1954,1998,1,5,0.0,0,954.0,0,240,9525,128000
8,1418,2.15,852.0,3.0,1642.0,1418,2010,2010,1,6,0.0,1,1032.0,192,160,12853,267916
6,1367,1.35,560.0,1.0,884.0,959,1931,1950,1,6,0.0,1,425.0,0,0,6240,127500
7,1922,1.7,672.0,2.0,0.0,495,2003,2003,3,7,500.0,1,0.0,0,0,7301,198500
6,1422,2.05,576.0,2.0,1422.0,1422,1981,1981,2,7,210.0,1,588.0,0,276,12090,175500
7,1842,2.5,486.0,2.0,985.0,985,2000,2000,2,7,144.0,1,841.0,96,193,8826,217500
4,1962,1.85,572.0,2.0,888.0,888,1915,1950,1,9,0.0,1,0.0,0,160,8094,149500
5,1120,1.9,656.0,2.0,864.0,1120,1966,2004,1,5,165.0,1,644.0,162,0,10710,148800
9,2868,3.6,716.0,3.0,1992.0,1992,2005,2006,3,11,208.0,1,240.0,108,214,16056,556581
6,1478,1.9,442.0,2.0,1478.0,1478,1957,1957,1,6,0.0,2,189.0,0,114,8400,156500
7,1995,2.5,610.0,2.0,930.0,950,1995,1996,2,8,0.0,1,685.0,170,275,11250,237000
5,912,1.9,297.0,1.0,912.0,912,1958,1985,1,5,0.0,0,111.0,285,12,7535,120000
6,1326,2.1,388.0,2.0,1326.0,1326,2005,2005,2,6,0.0,0,918.0,23,120,12216,203000
8,1204,3.6,461.0,2.0,1191.0,1204,1987,1987,2,5,0.0,0,0.0,70,120,3701,130000
6,1611,1.9,442.0,2.0,780.0,798,1964,1964,1,7,360.0,0,674.0,128,328,9760,167900
4,960,1.35,576.0,2.0,960.0,960,1970,1970,1,6,160.0,0,789.0,288,0,9873,129000
5,1236,1.9,447.0,1.0,1070.0,1236,1957,1996,1,6,64.0,1,360.0,0,0,10011,134450
5,1416,1.4,576.0,2.0,816.0,1416,1918,2007,2,7,0.0,0,0.0,0,0,25339,112000
7,1873,2.0,619.0,2.0,929.0,946,1988,1988,2,7,360.0,1,608.0,48,108,8883,207000
5,2128,1.85,0.0,0.0,1040.0,1088,1922,1950,2,11,0.0,0,0.0,56,0,3000,62500
7,1626,2.7,474.0,2.0,764.0,764,2003,2004,2,6,106.0,0,573.0,27,0,2448,154000
5,816,1.9,308.0,1.0,816.0,816,1957,1957,1,5,0.0,0,708.0,0,0,7100,129900
5,1112,1.25,336.0,1.0,536.0,536,1976,1976,1,4,0.0,0,129.0,0,182,2592,85000
7,1111,1.85,288.0,1.0,572.0,572,1926,1950,1,5,0.0,1,0.0,0,0,5700,116900
6,1441,1.35,440.0,2.0,855.0,855,1978,1978,2,7,0.0,1,311.0,0,28,2289,148500
4,924,1.7,280.0,1.0,672.0,672,1941,1950,1,5,0.0,0,348.0,0,0,12180,80000
5,1126,1.4,506.0,2.0,1060.0,1126,1984,1984,1,5,0.0,0,104.0,0,178,7400,152000
5,992,1.7,319.0,1.0,381.0,992,1954,1954,1,6,0.0,0,0.0,0,60,8842,155891
6,1376,1.35,576.0,2.0,768.0,752,1920,1950,1,7,0.0,0,0.0,54,0,8850,165000
7,1218,2.15,676.0,2.0,1218.0,1218,2009,2010,2,4,0.0,0,0.0,136,0,9215,204500
5,1644,1.9,312.0,1.0,728.0,888,1942,1995,1,7,224.0,2,386.0,0,168,9480,146500
7,1601,2.05,478.0,2.0,1271.0,1601,1978,1978,2,7,206.0,1,704.0,0,0,11880,157000
7,2495,1.85,342.0,2.0,1313.0,1313,1890,1999,2,10,0.0,1,0.0,299,0,10800,184000
6,1509,2.1,393.0,2.0,783.0,807,2002,2003,2,7,0.0,1,457.0,75,100,7861,183200
5,1092,1.4,288.0,1.0,1092.0,1092,1962,1962,1,6,116.0,1,170.0,20,0,11616,139000
7,2418,3.4,983.0,3.0,1311.0,1325,1993,1994,2,9,651.0,1,1173.0,154,250,10542,341000
6,987,1.0,264.0,1.0,483.0,483,1971,1971,1,5,504.0,0,156.0,0,275,1680,96000
4,1121,1.7,440.0,2.0,1121.0,1121,2003,2004,2,5,0.0,0,0.0,64,132,8546,140000
6,1236,1.85,923.0,2.0,912.0,1236,1957,1996,1,6,0.0,0,600.0,158,0,7407,149700
5,1074,2.05,495.0,2.0,1056.0,1074,1975,1975,1,6,0.0,0,788.0,88,0,10140,153500
1,733,1.05,487.0,2.0,0.0,733,1952,1952,1,4,0.0,0,0.0,0,0,14584,13100
7,1768,2.5,543.0,2.0,884.0,884,2003,2003,2,8,252.0,0,550.0,63,0,8158,224900
7,1266,2.15,453.0,2.0,1257.0,1266,2005,2005,2,6,0.0,1,0.0,144,38,7500,176000
8,2872,3.4,541.0,2.0,1683.0,2129,1992,2000,2,9,337.0,1,700.0,33,0,10678,285000
8,1464,2.15,754.0,3.0,1485.0,1464,2007,2007,2,6,84.0,0,929.0,160,168,15256,282922
7,2157,1.9,487.0,2.0,924.0,1216,1966,1966,2,8,309.0,2,445.0,66,105,14200,226000
8,2576,3.6,666.0,3.0,1234.0,1264,2006,2006,2,10,466.0,1,0.0,100,324,12438,361919
9,2798,3.6,670.0,3.0,1398.0,1414,2005,2006,3,11,600.0,1,1218.0,37,182,16023,457347
8,1743,2.35,529.0,2.0,966.0,1743,1976,1976,0,5,0.0,2,51.0,0,646,20064,279000
6,1567,1.45,714.0,2.0,1567.0,1567,1977,1977,2,5,0.0,2,1567.0,32,264,9819,196000
7,1370,2.05,479.0,2.0,1090.0,1370,1976,1976,2,6,189.0,1,0.0,0,0,10400,152000
5,2634,1.9,968.0,4.0,1248.0,1338,1969,1969,2,12,368.0,0,500.0,0,0,11643,200000
8,1590,2.5,754.0,3.0,1570.0,1590,2005,2006,2,6,198.0,0,1122.0,80,176,11645,294900
7,1450,2.0,788.0,3.0,1450.0,1450,2008,2009,2,6,140.0,0,0.0,93,0,7328,224243
6,1338,1.7,528.0,2.0,832.0,846,1915,1950,2,7,0.0,0,0.0,0,0,7822,92000
7,1456,2.1,400.0,2.0,728.0,728,2007,2007,2,8,0.0,1,0.0,24,100,9018,179540
10,2392,2.7,968.0,3.0,2392.0,2392,2003,2003,2,8,922.0,1,56.0,105,248,13472,386250
4,992,1.25,297.0,1.0,530.0,530,1970,1970,1,4,0.0,0,503.0,97,112,1533,106500
10,2007,2.15,812.0,3.0,1017.0,1026,2008,2008,2,10,160.0,1,765.0,52,168,11003,310000
7,2385,3.4,600.0,3.0,1066.0,1108,1998,1998,2,8,275.0,1,0.0,38,120,10790,252000
7,1646,2.5,240.0,1.0,918.0,918,1941,1950,2,7,0.0,2,364.0,0,0,7128,164000
7,1456,2.1,400.0,2.0,728.0,728,2007,2007,2,7,16.0,0,0.0,24,100,7713,177594
5,1040,1.35,624.0,2.0,528.0,548,1936,1980,1,5,0.0,0,276.0,0,306,6240,123900
6,2624,2.5,864.0,3.0,1370.0,1370,1918,1950,2,10,0.0,1,1128.0,0,0,22420,239000
5,1264,1.45,528.0,2.0,1068.0,1264,1965,1977,1,7,0.0,1,42.0,0,0,15300,169000
7,1557,2.1,420.0,2.0,1374.0,1557,2003,2004,2,7,18.0,1,0.0,20,143,3196,234000
6,1287,1.45,541.0,2.0,957.0,1287,1977,1977,1,5,0.0,2,841.0,39,302,9360,173000
6,1004,1.9,480.0,2.0,1004.0,1004,1970,1970,1,5,180.0,1,578.0,0,0,11241,149000
7,1162,2.0,483.0,2.0,1162.0,1162,2007,2007,2,6,0.0,0,0.0,32,0,9260,170000
7,1436,2.15,529.0,2.0,1436.0,1436,2008,2009,2,6,0.0,0,0.0,121,0,7993,225000
5,960,1.4,300.0,1.0,960.0,960,1963,2003,1,6,0.0,0,634.0,0,168,9239,144900
5,1196,1.7,336.0,1.0,1196.0,1196,1968,1968,1,6,0.0,0,1070.0,0,257,10044,144000
8,1269,2.1,430.0,2.0,1256.0,1269,2004,2005,2,6,16.0,1,24.0,20,146,3182,192000
5,1031,1.9,230.0,1.0,1031.0,1031,1952,2005,1,5,0.0,0,931.0,0,0,7626,145500
4,720,1.85,280.0,1.0,448.0,448,1900,1998,1,5,0.0,0,0.0,0,0,7008,86900
6,1505,1.9,505.0,2.0,1505.0,1505,1953,1953,1,6,90.0,1,1024.0,0,0,12160,149500
5,954,2.5,240.0,1.0,920.0,954,1938,1950,1,5,0.0,1,0.0,0,0,6305,119750
6,1500,2.5,564.0,2.0,750.0,750,2005,2006,2,6,0.0,0,0.0,35,0,8846,173900
5,1050,1.9,368.0,1.0,1050.0,1050,1961,1961,1,6,0.0,0,915.0,319,0,10659,136500
8,2687,3.6,618.0,2.0,2062.0,2079,1994,1994,2,9,0.0,0,0.0,12,168,13108,270000
6,1252,2.35,564.0,2.0,1602.0,1252,1960,1975,1,4,0.0,1,429.0,0,409,13500,235000
7,1430,2.1,400.0,2.0,384.0,774,1999,2000,2,7,0.0,1,0.0,0,0,7750,156000
5,1114,2.0,576.0,2.0,1114.0,1114,2003,2004,2,6,0.0,0,836.0,42,0,12450,153000
6,1224,1.45,402.0,2.0,1224.0,1224,1999,1999,2,5,425.0,0,883.0,304,0,4500,165000
9,2504,3.6,656.0,3.0,1122.0,1134,2005,2007,2,11,245.0,1,0.0,39,144,11198,325000
5,1355,2.5,528.0,2.0,728.0,760,1941,1950,2,5,0.0,0,533.0,0,0,6221,140000
6,2294,1.05,658.0,2.0,741.0,1497,1963,1963,3,9,234.0,1,375.0,110,0,13200,202500
9,1702,2.7,1052.0,3.0,1702.0,1702,2008,2008,1,7,766.0,1,1540.0,72,0,8769,367294
6,1509,2.85,600.0,2.0,1461.0,1509,1988,1989,2,5,219.0,1,783.0,0,224,10200,175000
7,1717,2.5,642.0,3.0,756.0,961,1915,1970,1,7,0.0,1,216.0,35,0,9550,140000
7,1240,2.85,528.0,2.0,1265.0,1240,1985,1985,2,6,0.0,0,215.0,0,232,10331,174000
7,1166,2.1,400.0,2.0,856.0,1166,2005,2005,2,5,182.0,0,655.0,0,212,9587,190000
5,1464,1.85,0.0,0.0,504.0,764,1910,2002,2,7,0.0,0,0.0,0,0,9900,129000
6,1652,1.9,510.0,2.0,1592.0,1652,1959,1991,1,6,136.0,1,1386.0,0,0,22002,200000
6,2142,1.9,509.0,1.0,896.0,1182,1968,1968,2,8,576.0,1,448.0,72,0,13000,193500
6,1092,1.9,504.0,2.0,1092.0,1092,1964,1964,1,6,260.0,0,787.0,0,0,8250,145000
7,1671,2.5,451.0,2.0,1022.0,1122,1929,1950,2,7,270.0,1,526.0,0,0,8170,218000
5,1488,1.7,569.0,2.0,0.0,1488,1952,2002,1,7,232.0,1,0.0,189,0,12048,135000
5,1624,1.9,240.0,1.0,1444.0,1624,1952,1952,1,6,150.0,1,40.0,40,0,10858,146500
6,1362,2.7,460.0,2.0,1362.0,1362,2005,2006,2,6,256.0,1,20.0,28,192,7577,194700
7,1218,2.15,462.0,2.0,1218.0,1218,2007,2008,2,6,210.0,0,902.0,168,168,7500,230348
6,1068,1.85,288.0,1.0,1124.0,1068,1923,1950,1,5,0.0,1,960.0,0,0,6120,109500
6,1625,1.45,576.0,2.0,1625.0,1625,1979,1979,2,6,0.0,1,776.0,28,136,23580,242500
7,1767,3.6,504.0,2.0,1064.0,1064,1987,1987,2,5,0.0,1,495.0,35,441,5306,239000
6,1050,1.9,286.0,1.0,1050.0,1050,1954,2000,1,6,176.0,0,824.0,0,0,8092,156000
4,907,1.9,352.0,1.0,907.0,907,1957,1957,1,5,0.0,0,288.0,0,0,8593,109008
2,845,1.05,256.0,1.0,0.0,640,1939,1950,1,4,0.0,0,0.0,0,48,11067,68104
8,2501,3.4,751.0,3.0,1242.0,1251,1995,1995,2,9,466.0,1,0.0,87,192,11929,290000
5,1209,1.9,504.0,2.0,1209.0,1209,1966,1966,1,6,0.0,0,1059.0,0,0,9900,159000
4,906,1.35,231.0,1.0,348.0,453,1937,1950,1,5,0.0,0,120.0,0,0,4882,87000
